id	exp	bam	assembly	genotype	replicate	sequencing
EGAR00001733371_pat_155_N1883_14_fv	EGAR00001733371_pat_155_N1883_14_fv	EGAR00001733371_pat_155_N1883_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733372_pat_156_N2012_14	EGAR00001733372_pat_156_N2012_14	EGAR00001733372_pat_156_N2012_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733373_pat_157_N2085_14B	EGAR00001733373_pat_157_N2085_14B	EGAR00001733373_pat_157_N2085_14B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733374_pat_157_N2085_14B_fv	EGAR00001733374_pat_157_N2085_14B_fv	EGAR00001733374_pat_157_N2085_14B_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733375_pat_158_N2242_15	EGAR00001733375_pat_158_N2242_15	EGAR00001733375_pat_158_N2242_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733376_pat_159_N2395_15	EGAR00001733376_pat_159_N2395_15	EGAR00001733376_pat_159_N2395_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733377_pat_160_N2606_15	EGAR00001733377_pat_160_N2606_15	EGAR00001733377_pat_160_N2606_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733378_pat_161_N418_14	EGAR00001733378_pat_161_N418_14	EGAR00001733378_pat_161_N418_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733379_pat_162_N487_16	EGAR00001733379_pat_162_N487_16	EGAR00001733379_pat_162_N487_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733380_pat_163_N541_15	EGAR00001733380_pat_163_N541_15	EGAR00001733380_pat_163_N541_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733381_pat_163_N541_15_fv	EGAR00001733381_pat_163_N541_15_fv	EGAR00001733381_pat_163_N541_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733382_pat_164_N581_14A	EGAR00001733382_pat_164_N581_14A	EGAR00001733382_pat_164_N581_14A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733383_pat_164_N581_14A_fv	EGAR00001733383_pat_164_N581_14A_fv	EGAR00001733383_pat_164_N581_14A_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733384_pat_165_N592_15B	EGAR00001733384_pat_165_N592_15B	EGAR00001733384_pat_165_N592_15B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733385_pat_165_N592_15_fv	EGAR00001733385_pat_165_N592_15_fv	EGAR00001733385_pat_165_N592_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733386_pat_166_N697_14	EGAR00001733386_pat_166_N697_14	EGAR00001733386_pat_166_N697_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733387_pat_167_N712_14	EGAR00001733387_pat_167_N712_14	EGAR00001733387_pat_167_N712_14_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733388_pat_168_N900_15B	EGAR00001733388_pat_168_N900_15B	EGAR00001733388_pat_168_N900_15B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733389_pat_169_N579_12A	EGAR00001733389_pat_169_N579_12A	EGAR00001733389_pat_169_N579_12A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733390_pat_169_N579_12_fv	EGAR00001733390_pat_169_N579_12_fv	EGAR00001733390_pat_169_N579_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733391_pat_171_N834_13	EGAR00001733391_pat_171_N834_13	EGAR00001733391_pat_171_N834_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733392_pat_171_N834_13_fv	EGAR00001733392_pat_171_N834_13_fv	EGAR00001733392_pat_171_N834_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733393_pat_172_N1043_09	EGAR00001733393_pat_172_N1043_09	EGAR00001733393_pat_172_N1043_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733394_pat_173_N337_13	EGAR00001733394_pat_173_N337_13	EGAR00001733394_pat_173_N337_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733395_pat_173_N337_13_fv	EGAR00001733395_pat_173_N337_13_fv	EGAR00001733395_pat_173_N337_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733396_pat_174_N836_09G2	EGAR00001733396_pat_174_N836_09G2	EGAR00001733396_pat_174_N836_09G2_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733397_pat_175_N1021_08G1	EGAR00001733397_pat_175_N1021_08G1	EGAR00001733397_pat_175_N1021_08G1_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733398_pat_176_N1767_06B	EGAR00001733398_pat_176_N1767_06B	EGAR00001733398_pat_176_N1767_06B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733399_pat_177_N815_08	EGAR00001733399_pat_177_N815_08	EGAR00001733399_pat_177_N815_08_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733400_pat_178_N586_12	EGAR00001733400_pat_178_N586_12	EGAR00001733400_pat_178_N586_12_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733401_pat_179_N2266_13	EGAR00001733401_pat_179_N2266_13	EGAR00001733401_pat_179_N2266_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733402_pat_180_N560_12C	EGAR00001733402_pat_180_N560_12C	EGAR00001733402_pat_180_N560_12C_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733403_pat_180_N560_12_fv	EGAR00001733403_pat_180_N560_12_fv	EGAR00001733403_pat_180_N560_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733404_pat_181_N951_09B	EGAR00001733404_pat_181_N951_09B	EGAR00001733404_pat_181_N951_09B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733405_pat_182_N892_10	EGAR00001733405_pat_182_N892_10	EGAR00001733405_pat_182_N892_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733406_pat_183_N922_12A	EGAR00001733406_pat_183_N922_12A	EGAR00001733406_pat_183_N922_12A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733407_pat_183_N922_12_fv	EGAR00001733407_pat_183_N922_12_fv	EGAR00001733407_pat_183_N922_12_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733408_pat_184_N1390_13C	EGAR00001733408_pat_184_N1390_13C	EGAR00001733408_pat_184_N1390_13C_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733409_pat_184_N1390_13_fv	EGAR00001733409_pat_184_N1390_13_fv	EGAR00001733409_pat_184_N1390_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733410_pat_185_N540_09A	EGAR00001733410_pat_185_N540_09A	EGAR00001733410_pat_185_N540_09A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733411_pat_186_N177_13	EGAR00001733411_pat_186_N177_13	EGAR00001733411_pat_186_N177_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733412_pat_186_N177_13_fv	EGAR00001733412_pat_186_N177_13_fv	EGAR00001733412_pat_186_N177_13_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733413_pat_187_N2611_14D	EGAR00001733413_pat_187_N2611_14D	EGAR00001733413_pat_187_N2611_14D_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733414_pat_187_N2611_14_fv	EGAR00001733414_pat_187_N2611_14_fv	EGAR00001733414_pat_187_N2611_14_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733415_pat_188_N2699_14B	EGAR00001733415_pat_188_N2699_14B	EGAR00001733415_pat_188_N2699_14B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733416_pat_198_N313_10	EGAR00001733416_pat_198_N313_10	EGAR00001733416_pat_198_N313_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733417_pat_199_N1722_10	EGAR00001733417_pat_199_N1722_10	EGAR00001733417_pat_199_N1722_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733418_pat_210_N296_09	EGAR00001733418_pat_210_N296_09	EGAR00001733418_pat_210_N296_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733419_pat_211_N30_13	EGAR00001733419_pat_211_N30_13	EGAR00001733419_pat_211_N30_13_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733420_pat_213_N1261_10B	EGAR00001733420_pat_213_N1261_10B	EGAR00001733420_pat_213_N1261_10B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733421_pat_215_N1277_10	EGAR00001733421_pat_215_N1277_10	EGAR00001733421_pat_215_N1277_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733422_pat_216_N1516_10B	EGAR00001733422_pat_216_N1516_10B	EGAR00001733422_pat_216_N1516_10B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733423_pat_217_N1563_09	EGAR00001733423_pat_217_N1563_09	EGAR00001733423_pat_217_N1563_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733424_pat_218_N711_09	EGAR00001733424_pat_218_N711_09	EGAR00001733424_pat_218_N711_09_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733425_pat_219_N1509_08	EGAR00001733425_pat_219_N1509_08	EGAR00001733425_pat_219_N1509_08_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733426_pat_220_N567_09C	EGAR00001733426_pat_220_N567_09C	EGAR00001733426_pat_220_N567_09C_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733427_pat_221_N87_09B	EGAR00001733427_pat_221_N87_09B	EGAR00001733427_pat_221_N87_09B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733428_pat_222_N324_08	EGAR00001733428_pat_222_N324_08	EGAR00001733428_pat_222_N324_08_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733429_pat_223_N724_07	EGAR00001733429_pat_223_N724_07	EGAR00001733429_pat_223_N724_07_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733430_pat_224_N1173_07	EGAR00001733430_pat_224_N1173_07	EGAR00001733430_pat_224_N1173_07_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733431_pat_225_N144_06	EGAR00001733431_pat_225_N144_06	EGAR00001733431_pat_225_N144_06_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733432_pat_226_N1653_07B	EGAR00001733432_pat_226_N1653_07B	EGAR00001733432_pat_226_N1653_07B_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733433_pat_227_N1381_07	EGAR00001733433_pat_227_N1381_07	EGAR00001733433_pat_227_N1381_07_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733434_pat_228_N526_06	EGAR00001733434_pat_228_N526_06	EGAR00001733434_pat_228_N526_06_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733435_pat_229_N1248_06	EGAR00001733435_pat_229_N1248_06	EGAR00001733435_pat_229_N1248_06_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733436_pat_230_N1254_06A	EGAR00001733436_pat_230_N1254_06A	EGAR00001733436_pat_230_N1254_06A_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733437_pat_231_N1582_06Z	EGAR00001733437_pat_231_N1582_06Z	EGAR00001733437_pat_231_N1582_06Z_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733438_pat_232_N1225_11	EGAR00001733438_pat_232_N1225_11	EGAR00001733438_pat_232_N1225_11_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733439_pat_233_N435_06	EGAR00001733439_pat_233_N435_06	EGAR00001733439_pat_233_N435_06_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733440_pat_234_N960_06	EGAR00001733440_pat_234_N960_06	EGAR00001733440_pat_234_N960_06_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733441_pat_236_N7_11	EGAR00001733441_pat_236_N7_11	EGAR00001733441_pat_236_N7_11_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733442_pat_237_N831_11	EGAR00001733442_pat_237_N831_11	EGAR00001733442_pat_237_N831_11_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733443_pat_238_N500_10	EGAR00001733443_pat_238_N500_10	EGAR00001733443_pat_238_N500_10_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733444_pat_258_Graz_46_2	EGAR00001733444_pat_258_Graz_46_2	EGAR00001733444_pat_258_Graz_46_2_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733445_pat_259_Graz_47	EGAR00001733445_pat_259_Graz_47	EGAR00001733445_pat_259_Graz_47_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733446_pat_260_Graz_49_2	EGAR00001733446_pat_260_Graz_49_2	EGAR00001733446_pat_260_Graz_49_2_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
